wallet,num_borrow,num_deposit,num_redeemunderlying,num_repay,total_borrow,total_deposit,total_redeemunderlying,total_repay,avg_tx_gap_sec,repay_borrow_ratio,total_transactions,activity_score,net_borrow,borrow_to_deposit_ratio,deposit_frequency,repay_frequency,repayment_efficiency,avg_repay_per_tx
0x02aef62867532fbddf4521b3889a5af09b5333d8,2,3,5,4,1211391841952259.0,3992821352741984.0,3924986363706612.0,1193254663163032.0,66031.53846153847,0.9850278182821527,14,0.00021201668641217673,18137178789227.0,0.30339244732809334,4.5432147088323585e-05,0.26666666666666666,0.9850278182821519,238650932632606.4
0x02af03e62f2b267f460455f60f87842fe2807b7b,0,1,0,0,0.0,182933100506.4872,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x02af6f4620c185ba1aab781282a67f21106a2d61,1,1,0,0,36322492.11952445,1452899684.7809782,0.0,0.0,60.0,0.0,2,0.03278688524590164,36322492.11952445,0.024999999982793026,0.01639344262295082,0.0,0.0,0.0
0x02af867ab593ffb436e9102eec9b1ca5a693620a,1,1,0,0,0.0006713985560447424,11191814376.473717,0.0,0.0,38.0,0.0,2,0.05128205128205128,0.0006713985560447424,5.999014399274683e-14,0.02564102564102564,0.0,0.0,0.0
0x02afca5527ecb2ffe3ed6ee9ae776c7d5da88923,24,77,35,5,3497626705073785.0,4604135991069389.0,847271718429519.2,316.3307134078401,45901.7,9.044153080972284e-14,141,0.0030717147357344995,3497626705073468.5,0.7596705900646955,0.001677461238663521,0.035211267605633804,9.044153080972281e-14,52.72178556797335
0x02b04b832848dc70f98cc792cb005819df0959eb,0,4,0,0,0.0,1631699085430.3792,0.0,0.0,165227.66666666666,0.0,4,2.4208874166306896e-05,0.0,0.0,2.4208874166306896e-05,0.0,0.0,0.0
0x02b04fd27fb898e6face6df1888f72906b5ba11c,0,2,0,0,0.0,1415842573841.1296,0.0,0.0,552.0,0.0,2,0.003616636528028933,0.0,0.0,0.003616636528028933,0.0,0.0,0.0
0x02b05a37642df584a9586ffd1008b1898f470835,10,17,5,3,1366414747598995.0,8776903235729947.0,3469363969911927.0,1406335347979341.5,175533.88235294117,1.0292155807382006,35,0.0001993905685915285,-39920600380346.5,0.15568301380337077,9.684684760159954e-05,0.08333333333333333,1.0292155807382,351583836994835.4
0x02b0f2fdd791d194a5d941579a696894d67c38b2,1,15,4,1,99.06931470705607,608458497283467.9,1362.1111653788307,99.11083809081508,255722.25,1.0004191346622493,21,8.212002623930362e-05,-0.041523383759013655,1.6282016793152223e-13,5.865716159950259e-05,0.045454545454545456,0.990421872888339,49.55541904540754
0x02b13fd8e0557ca41834df8fc2922eeadf4af6a7,2,6,8,2,700958.5147478913,3169633.9465140784,4388290.530053404,702818.6986180822,63347.0,1.0026537717012538,18,0.00028414472437961733,-1860.183870190871,0.22114802700506442,9.471490812653911e-05,0.10526315789473684,1.0026523412994253,234272.89953936075
0x02b202a0389ac791190121c2508e3532ad2cd297,0,1,0,0,0.0,189459642973.8355,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x02b21ae22bda250e3cbeb563aa9b4192ac41faa9,0,1,0,0,0.0,1.0948451284556417,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x02b265d2ce756e835b1bff29e9a07e77d02488f3,2,1,1,1,13018.718815459426,3937675822298658.0,3.129781561671955e+16,13041.005948322076,42159.0,1.0017119298126467,5,0.00011859582542694497,-22.28713286264974,3.306193654067646e-12,2.3719165085388994e-05,0.16666666666666666,1.0016349917509257,6520.502974161038
0x02b2922c1163d06facf7c62d98a35e687e2741dd,0,1,0,0,0.0,222632257802.0482,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x02b2b3835e863da7c7aec928586cee0b04a261da,1,1,1,1,701.829156000001,2174785725000003.2,2174785725000003.2,701.829156000001,29.333333333333332,1.0,4,0.13186813186813187,0.0,3.227118644067795e-13,0.03296703296703297,0.2,0.998577179117481,350.9145780000005
0x02b32bf15b786bced6a40e1834b91986cc30531d,0,1,0,0,0.0,195175400801.7991,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x02b3f9bfdf978bbe7434467761a706d44311a065,1,5,2,0,199.832722792766,1396357693344718.8,100.54765174075675,0.0,561894.4285714285,0.0,8,1.4237524623290354e-05,199.832722792766,1.4310998087753805e-13,8.898452889556471e-06,0.0,0.0,0.0
0x02b40f2f6b29db95866775e732352f6686885fa3,5,37,2,5,6.5200795452561224e+16,6.561732791931095e+16,118249958203411.56,14410314406295.867,131471.47916666666,0.00022101439570289475,49,0.0003727015745849219,6.518638513815493e+16,0.9936520964818633,0.00028142771958453286,0.1,0.00022101439570289475,2401719067715.978
0x02b42cadcb1d54d586d7b19c4b40ccb858d61640,4,25,20,5,1700266252115764.5,1.3964273994096294e+16,4471123572310033.0,1700268727958489.2,94158.77358490566,1.0000014561500128,54,0.0005734933076416881,-2475842724.75,0.12175829927388918,0.000265506160945226,0.09090909090909091,1.0000014561500121,283378121326414.9
0x02b4d35435f702921a56b5c993c999b6b8eab1df,2,2,1,2,345.0518923338933,34662332521684.805,86743149995500.1,414.80695005902135,535730.25,1.2021581659886356,9,1.6799468016846133e-05,-69.75505772512804,9.954664537304823e-12,3.733215114854696e-06,0.2,1.198684241433908,138.26898335300712
